test_id,axis,axis_value,use_omega,use_kmeans,sample_ratio,I,J,H,S,T,demand_multiplier,road_capacity_multiplier,hospital_capacity_multiplier,obj_value,best_lb,best_ub,cpu_s,wall_s,gap_pct,vss_pct,evpi_pct,log_path,status,note
ablation_A_no_omega_no_kmeans,ablation,A_no_omega_no_kmeans,False,False,1,129,10,16,5,8,1,1,1,22087929.82,21536760.10,22087929.82,3600.61,7759.1,2.4953,2.5598,0.1889,C:\Amy\002 救護車調度和損壞道路修復決策\005 程式\Taipei Case Test_(06-28)\logs\SP_seed42_scen5_used5_period8_sample1p0_D1p0_R1p0_H1p0_tl3600p0_gap0p01.log,OK,
ablation_B_omega_only,ablation,B_omega_only,True,False,1,129,10,16,5,8,1,1,1,25433493.45,24791341.34,25433493.45,3600.75,9684.1,2.5248,15.3190,2.8536,C:\Amy\002 救護車調度和損壞道路修復決策\005 程式\Taipei Case Test_(06-28)\logs\SP_seed42_scen5_used5_period8_sample1p0_D1p0_R1p0_H1p0_tl3600p0_gap0p01_r02.log,OK,
ablation_C_kmeans_only,ablation,C_kmeans_only,False,True,1,129,10,16,5,8,1,1,1,38398626.20,38397462.81,38398626.20,284.12,746.3,0.0030,81.2442,14.9737,C:\Amy\002 救護車調度和損壞道路修復決策\005 程式\Taipei Case Test_(06-28)\logs\SP_seed42_scen5_used5_period8_sample1p0_D1p0_R1p0_H1p0_tl3600p0_gap0p01_r03.log,OK,
ablation_D_both,ablation,D_both,True,True,1,129,10,16,5,8,1,1,1,64014223.54,63748684.61,64014223.54,282.72,1982.4,0.4148,31.2219,8.0890,C:\Amy\002 救護車調度和損壞道路修復決策\005 程式\Taipei Case Test_(06-28)\logs\SP_seed42_scen5_used5_period8_sample1p0_D1p0_R1p0_H1p0_tl3600p0_gap0p01_r04.log,OK,
